"","Sum Sq","Df","F value","Pr(>F)","Sum Sq","Df","F value","Pr(>F)","Sum Sq","Df","F value","Pr(>F)","Sum Sq","Df","F value","Pr(>F)"
"(Intercept)",6.78298215488997,1,150.970632811361,3.04621608429885e-23,3.81527518723905,1,150.970632811361,3.04621608429922e-23,84.9079380899695,1,1753.77645454354,2.0277061780236e-75,6.37654201026598,1,131.707700016959,2.89259198661693e-21
"stand_nod",0.0439496728530617,1,0.978199525071087,0.324554347900421,0.0247207043295372,1,0.978199525071096,0.324554347900418,0.0903937975751372,1,1.86708707560499,0.174262022712836,0.0803610209922097,1,1.65985972159493,0.200001900858784
"I(stand_nod^2)",0.0284155791140392,1,0.632453080752265,0.427964439438828,0.0159831253347269,1,0.632453080752264,0.427964439438828,0.049297355719677,1,1.01823862029032,0.314886501300981,0.0555857173664576,1,1.14812495179083,0.286006461462637
"env",1.12329120070955,4,6.25034754367955,0.00012837434635713,0.631826083018888,4,6.25034754367957,0.000128374346357125,0.308080278968042,4,1.59085225574211,0.180829468770703,0.525706231701311,4,2.71462018718331,0.0328673925683796
"stand_nod:env",0.315259480622147,4,1.75420346841818,0.14230684346383,0.177326380416972,4,1.75420346841819,0.142306843463829,0.317970808753331,4,1.64192456608964,0.16785533469838,0.385230678519243,4,1.98923831137848,0.100172403642147
"I(stand_nod^2):env",0.323484643025683,4,1.79997087369371,0.132974815717611,0.18195284961778,4,1.79997087369372,0.13297481571761,0.391757786392547,4,2.02294272218498,0.0952046030838034,0.358820226823069,4,1.85286110866768,0.122907749033461
"Residuals",5.61614370670798,125,NA,NA,3.15895475513297,125,NA,NA,6.05179310838028,125,NA,NA,6.05179310838028,125,NA,NA
"(Intercept)1",13.5648546853323,1,23.3889907235461,4.13819904618202e-06,538455.016223129,1,23.3889907235461,4.1381990461821e-06,81.7248642373557,1,153.171112767699,7.01384875884844e-23,13.3804478693641,1,25.0780237887979,2.00634289959557e-06
"stand_nod1",0.465880677740714,1,0.803287547321779,0.371984569881156,18493.0685739056,1,0.803287547321769,0.371984569881159,8.09522252348701,1,15.1723010321977,0.000165211438938406,0.0683651170880495,1,0.12813188686931,0.721033054835385
"I(stand_nod^2)1",0.169987802024067,1,0.293098836433242,0.589288814209685,6747.64211042924,1,0.293098836433236,0.589288814209688,0.198383456894561,1,0.371816033355408,0.543218987253509,0.320996956070815,1,0.601621812593198,0.439552053081684
"env1",16.4328535412247,4,7.08352333941131,3.9109025230839e-05,652299.831099568,4,7.0835233394113,3.91090252308396e-05,1.00858820565212,4,0.472581322788841,0.755767109684182,7.24009103474197,4,3.39239719355805,0.0115882068666146
"stand_nod:env1",8.43685367987057,4,3.6367785912919,0.00790829258363399,334899.730992259,4,3.63677859129189,0.00790829258363406,3.40879267251101,4,1.59721454331958,0.179783427097046,1.23450846595237,4,0.578437900189985,0.678842694742003
"I(stand_nod^2):env1",8.84338629750627,4,3.81201798462248,0.0060122817041417,351036.986591536,4,3.81201798462248,0.00601228170414175,2.44292111738962,4,1.14464841711919,0.339176355160358,2.7114078854156,4,1.27044984060796,0.285698654028839
"Residuals1",66.6962635220842,115,NA,NA,2647498.88516231,115,NA,NA,61.3585630963558,115,NA,NA,61.3585630963558,115,NA,NA
"(Intercept)2",15.149617508072,1,47.8701391951687,2.10040565544833e-10,29997.4500655295,1,47.8701391951687,2.10040565544836e-10,94.2257697947487,1,242.530106569577,4.64732583658416e-31,8.8546741427303,1,22.7912710944489,4.95786941883055e-06
"stand_nod2",0.0634198800126455,1,0.200395718395441,0.655176451740018,125.576416884956,1,0.200395718395449,0.655176451740011,8.12808682846099,1,20.9210895173104,1.13605718602422e-05,0.593235379777475,1,1.52694363964,0.218888971674724
"I(stand_nod^2)2",0.276554593292495,1,0.87386410045806,0.351690145027108,547.600135664426,1,0.873864100458055,0.35169014502711,1.10214054549675,1,2.83682759542575,0.0946213694737392,2.11259156573689,1,5.43765318863662,0.0213066981030688
"env2",18.1631644082361,4,14.3481049601372,1.14609158943615e-09,35964.5131025757,4,14.3481049601372,1.14609158943613e-09,0.8042435996446,4,0.517515766532308,0.722987425182439,4.41193034474687,4,2.83899494538447,0.0270700445099038
"stand_nod:env2",2.14597082139602,4,1.69522302913362,0.15523779558261,4249.19325670176,4,1.69522302913362,0.155237795582609,1.70089266738994,4,1.09449272949449,0.362285362645808,2.28255650136176,4,1.46878256535401,0.215644958159047
"I(stand_nod^2):env2",0.803689092841033,4,0.634879209383341,0.638546776851099,1591.36845652138,4,0.634879209383346,0.638546776851096,1.79951493840885,4,1.15795432273074,0.332680552916579,2.81535845824195,4,1.8116306940138,0.130690950519786
"Residuals2",39.5591535839972,125,NA,NA,78330.2768956566,125,NA,NA,48.5639551762811,125,NA,NA,48.5639551762811,125,NA,NA
"(Intercept)3",22.1632333552417,1,9.95707499824523,0.00230675146676782,8.28903893017375,1,9.95707499824524,0.00230675146676781,73.0505895930237,1,18.0997403947447,5.98319201181923e-05,19.8618303876426,1,4.9211645762694,0.0295558271821569
