"","Estimate","Std. Error","t value","Pr(>|t|)","Estimate","Std. Error","t value","Pr(>|t|)","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.765835418446491,0.0550294861642091,13.9168193604647,1.46893884611859e-13,0.0845837390539392,0.0255918830752098,3.30510024625243,0.00297463842804688,0.154883028933738,0.0127587580436642,12.1393499589602,3.243828473328e-12
"stand_nod",0.0985656017880983,0.0273474329401599,3.60419941439381,0.00130051636384827,0.0877576866745738,0.012292930647438,7.13887430031694,2.22781383842823e-07,0.0386549064678851,0.0063405876434617,6.09642333510607,1.92086676093966e-06
"(Intercept)",1.18860804860461,0.0655714967397647,18.1269012864213,2.84375009103255e-16,1.25424016504116,0.210500323396929,5.958376428126,3.77485212084733e-06,1.9210900457747,0.231321872277329,8.30483527935278,8.71120799934079e-09
"stand_nod",0.0363381660013885,0.159976266592462,0.227147231119974,0.822085859082238,0.964304318605734,0.509090994600849,1.89416887910538,0.070315999436379,1.84483710254438,0.564361214064888,3.26889420563948,0.00303551200260814
"(Intercept)",1.14532617732768,0.0622368665935093,18.4026966654379,1.97368046576979e-16,3.17961704426776,0.489780482922018,6.49192271872135,1.02962271775613e-06,2.5436771658558,0.238289477438596,10.6747355913409,5.35105595341482e-11
"stand_nod",0.0849801570258107,0.161142106132071,0.527361588262733,0.602414035064724,1.5398037926847,1.25142810999162,1.23043727433533,0.230457480124256,1.29029430086311,0.616973031665615,2.0913301467647,0.04641443267646
"(Intercept)",1.09453018113167,0.133839083504243,8.17795633737265,1.16807840439576e-08,2.25724873982153,0.448088300650143,5.03750876009578,3.78004097801558e-05,2.11744618573347,0.327054795006905,6.47428571010176,7.32634188389208e-07
"stand_nod",0.309930680380698,0.257923112821677,1.20163981036852,0.240334624014426,2.73518777516325,0.860111399513919,3.18003897717088,0.00403067462803103,2.15026629441136,0.630271730669484,3.41164959457616,0.00212151206680366
"(Intercept)",0.751867604441301,0.162280086762731,4.63314766118289,8.85262038181174e-05,0.521142783804607,0.195053736728065,2.6717908231164,0.0133406234795326,0.438360264713198,0.178512600071424,2.45562646299369,0.0210625290644171
"stand_nod",-0.170316159728368,0.283029210544297,-0.601761773637535,0.552544397244195,0.491545255291051,0.342557483593233,1.43492779703722,0.164211851991386,0.35004735078079,0.311339988031288,1.12432506018344,0.271148628909067
"(Intercept)",0.91585474636535,0.418634693869807,2.18771821775999,0.0378738892717945,0.89962340278517,0.342084200904243,2.62983031781989,0.014160971425451,1.46905736871648,0.388391944830414,3.78240946618479,0.000822473194309333
"stand_nod",0.697598414295274,1.02135254983064,0.683014317055312,0.500639167758195,0.977727264373414,0.834590577337535,1.17150527566763,0.252020018655492,1.78303096605519,0.947568629631041,1.88169058187316,0.0711190329224254
"(Intercept)",2.3460403774694,0.634360898311809,3.69827393793154,0.00102168200385391,2.0016802071771,0.999768598896107,2.0021435053944,0.0558032500472997,2.11589560671141,0.497142094046709,4.25611838556686,0.000239090591872421
"stand_nod",0.999847481834001,1.64247104323947,0.608745880756585,0.547975151494762,-0.976740030896328,2.58857533305878,-0.377327257361356,0.708992943438868,0.918473615291708,1.28718761831029,0.71355069162132,0.481861573516261
"(Intercept)",0.138088547468507,0.303112500387012,0.455568633072529,0.652482182643758,0.183134286915929,0.181247328448359,1.01041095879164,0.321609806113876,0.247796582058209,0.333756198617585,0.742447879873334,0.464471341066719
"stand_nod",-0.285599615131267,0.584132210024448,-0.488929749515634,0.628990509165056,0.142050415004621,0.349284184559824,0.406690085849824,0.687564082282896,-0.0720203923613991,0.643186096445801,-0.111974423513472,0.911703698288361
